// This file contains the test vectors for the
// debouncer counter/controller.
// The first column (index 3) is the input rst signal
// The second column (index 2) is the input strt signal
// The third column (index 1) is the input m_sec signal
// There is one row per clock edge. The inputs
//   are set up before the clock edge. The
//   outputs are observed after the clock edge.
// The seventh column (index 0) is the output times_up
//
//
100_0	// initialize
111_0	// with other's set to 1's to show priority of rst
000_0	// dummy, no-op cycles - counter should be at 499
000_0	// "
000_0	// "
000_0	// "
000_0	// "
001_0	// test for enable at 499 - should not count
001_0	// try it for 500+ clocks - should not get done signal
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
001_0	// ...
