// This file contains the test vectors for the
// stopwatch controller.
// The first column (index 6) is the input rst signal
// The second column (index 5) is the input m_sec signal
// The third column (index 4) is the input c_btn signal
// The fourth column (index 3) is the input ss_btn signal
// There is one row per clock edge. The inputs
//   are set up before the clock edge. The
//   outputs are observed after the clock edge.
// The fifth column (index 2) is the async output timer_clr
// The sixth column (index 1) is the sync output timer_clr
// The seventh column (index 0) is the output tmr_on
//
//
1000_110	// reset state - async timer clear
0000_000	// no-op
0010_010	// test clear button - sync timer clear
0000_100	// no-op
0001_000	// test start button
0000_001	// timer on
0000_001	// timer stays on - counter at 498
0000_001	// timer stays on
0000_001	// timer stays on
0100_001	// timer stays on for 498 clocks with m_sec on
0110_001	// but push the clear button again to generate
0110_001	// the timer clear as soon as we get to the
0110_001	// RUN state
0110_001	// wait ~500 clocks
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
0110_001	// ...
